cpse,material_code,description,specification,unit,category,ground_truth_cluster
ONGC,ONGC-P-81790,SEALLESS CANNED MOTOR PUMP 15 M3/HR @ 30M TDH,"15 M3/HR, 30M HEAD, 5.5 KW, ZERO EMISSION",EA,PUMP,PMP-CL-012
BHEL,BHEL-66100101,FLG WNRF 6IN 150# A105 SCH40 ASME B16.5,"SIZE: 6 INCH, RATING: 150 LB, WELD NECK RAISED FACE, A105 CS",NOS,FLANGE,FLG-CL-001
ONGC,ONGC-F-31010,"6"" WELD NECK FLANGE CLASS-150 RF ASME B16.5 A105 SCH 40","6 INCH NB, 150 LBS RF, WNRF ASTM A105 FORGED CS",EA,FLANGE,FLG-CL-001
GAIL,GAIL-FLG-40101,"FLANGE, WELD NECK, RAISED FACE, 6"", 150#, CS A105, SCH 40","6 INCH (150MM), ASME B16.5 150 LBS, WELDING NECK",NOS,FLANGE,FLG-CL-001
NTPC,NTPC-FLG-81020,WNRF FLANGE 150MM NB 150 CLASS ASTM A105 SCH 40,"150MM NB, CLASS 150 RF, WELD NECK FLANGE",NOS,FLANGE,FLG-CL-001
SAIL,SAIL-FLG-50110,"FORGED CARBON STEEL WELD NECK FLANGE 6"" 150 LBS RF","6"" NB, ASME B16.5, CLASS 150, A105 WNRF SCH 40",NOS,FLANGE,FLG-CL-001
BHEL,BHEL-66100109,FLG SORF 6IN 150# A105 ASME B16.5,"SIZE: 6 INCH, RATING: 150 LB, SLIP ON RAISED FACE, A105 CS",NOS,FLANGE,FLG-NM-001
ONGC,ONGC-F-31019,"6"" SLIP ON FLANGE CLASS-150 RF ASME B16.5 A105","6 INCH NB, 150 LBS RF, SORF ASTM A105 SLIP ON",EA,FLANGE,FLG-NM-001
GAIL,GAIL-FLG-40109,"FLANGE, SLIP ON, RAISED FACE, 6"", 150#, CS A105","6 INCH (150MM), ASME B16.5 150 LBS, SLIP ON",NOS,FLANGE,FLG-NM-001
BHEL,BHEL-66100215,FLG BLRF 4IN 300# A105 ASME B16.5,"SIZE 4"", 300 LB, BLIND RAISED FACE, ASTM A105",NOS,FLANGE,FLG-CL-002
ONGC,ONGC-F-31125,"4"" BLIND FLANGE CLASS-300 RF ASME B16.5 A105","4 INCH (100MM NB), 300#, FORGED CS BLIND",EA,FLANGE,FLG-CL-002
SAIL,SAIL-FLG-50220,"BLIND FLANGE 4"" ASME CLASS 300 RF ASTM A105","4 INCH NB, CLASS 300 BLRF, FORGED STEEL",NOS,FLANGE,FLG-CL-002
NTPC,NTPC-FLG-81130,BLRF FLANGE 100MM NB 300 CLASS ASTM A105,"100MM, CLASS 300, BLIND FLANGE RAISED FACE",NOS,FLANGE,FLG-CL-002
BHEL,BHEL-66100320,FLG SORF 3IN 150# SS304 ASTM A182 F304,"SIZE 3"", 150 LBS, SLIP ON RF, STAINLESS STEEL 304",NOS,FLANGE,FLG-CL-003
GAIL,GAIL-FLG-40215,"FLANGE, SLIP ON, 3 INCH, 150#, SS 304, ASME B16.5 RF","80 MM NB, CLASS 150, SS304 / A182",NOS,FLANGE,FLG-CL-003
ONGC,ONGC-F-31230,"3"" SS-304 SLIP ON FLANGE CLASS 150 RF","3 INCH, 150 LBS RF, STAINLESS STEEL 304",EA,FLANGE,FLG-CL-003
SAIL,SAIL-FLG-50335,"STAINLESS STEEL SLIP-ON FLANGE 3"" 150# RF SS304","80MM NB (3""), CLASS 150, A182 F304 SORF",NOS,FLANGE,FLG-CL-003
BHEL,BHEL-66100412,FLG SWRF 2IN 600# A105 ASME B16.5,"2 INCH, 600 LB, SOCKET WELD RAISED FACE, A105",NOS,FLANGE,FLG-CL-004
ONGC,ONGC-F-31340,"2"" SOCKET WELD FLANGE CLASS-600 RF A105","50 MM NB, 600 LBS RF, SWRF FORGED CARBON STEEL",EA,FLANGE,FLG-CL-004
NTPC,NTPC-FLG-81240,SWRF FLANGE 50MM NB 600 CLASS ASTM A105,"50MM, CLASS 600, SOCKET WELD FLANGE RF",NOS,FLANGE,FLG-CL-004
GAIL,GAIL-FLG-40325,"FLANGE, SOCKET WELD, 2 INCH, 600#, CS A105","2"", ASME B16.5 CL 600 RF, ASTM A105",NOS,FLANGE,FLG-CL-004
BHEL,BHEL-66100518,FLG LAP JOINT 4IN 150# A105 WITH STUB END,"4 INCH, 150 LBS, LAP JOINT FLANGE WITH TYPE A STUB END",NOS,FLANGE,FLG-CL-005
GAIL,GAIL-FLG-40430,"FLANGE, LAP JOINT, 4"", 150#, CARBON STEEL A105","100MM NB, CLASS 150, LJ FLANGE FOR STUB END",NOS,FLANGE,FLG-CL-005
SAIL,SAIL-FLG-50445,"4"" CS LAP JOINT FLANGE CLASS 150 ASME B16.5","4 INCH, 150 LBS, FORGED CARBON STEEL A105",NOS,FLANGE,FLG-CL-005
BHEL,BHEL-66100622,FLG THREADED NPT 1.5IN 300# A105 RF B16.5,"1-1/2 INCH, 300 LBS, NPT FEMALE THREADED, A105",NOS,FLANGE,FLG-CL-006
ONGC,ONGC-F-31450,"1.5"" SCREWED THREADED FLANGE CLASS-300 RF A105","40 MM NB, 300 LBS RF, NPT THREAD FORGED CS",EA,FLANGE,FLG-CL-006
NTPC,NTPC-FLG-81350,THREADED FLANGE 40MM NB 300 CLASS NPT ASTM A105,"40MM (1.5""), CLASS 300 RF, SCREWED FLANGE",NOS,FLANGE,FLG-CL-006
BHEL,BHEL-66100715,FLG PLATE TABLE E 8IN BS 10 MS FLAT FACE,"200MM NB, BS 10 TABLE E, MILD STEEL PLATE SLIP ON",NOS,FLANGE,FLG-CL-007
SAIL,SAIL-FLG-50560,"PLATE FLANGE 8"" TABLE E BS 10 MILD STEEL","8 INCH, TABLE E, MS PLATE FLANGE IS 2062",NOS,FLANGE,FLG-CL-007
NTPC,NTPC-FLG-81460,"8"" MS PLATE FLANGE TABLE-E FLAT FACE BS10","200 MM NB, BS 10 TABLE E, MS FF",NOS,FLANGE,FLG-CL-007
BHEL,BHEL-66100820,SPECTACLE BLIND 6IN 150# RF ASME B16.48 A516 GR70,"6 INCH, 150 LBS RF, FIGURE 8 SPECTACLE BLIND",NOS,FLANGE,FLG-CL-008
ONGC,ONGC-F-31560,"6"" SPECTACLE BLIND FLANGE CLASS-150 ASME B16.48 CS","6 INCH NB, 150#, ASTM A516 GR 70 / A105",EA,FLANGE,FLG-CL-008
GAIL,GAIL-FLG-40540,"SPECTACLE BLIND, 6 INCH, CLASS 150, CS ASME B16.48","6"", 150 LBS RF, CARBON STEEL FIGURE 8",NOS,FLANGE,FLG-CL-008
BHEL,BHEL-66100912,ORIFICE FLANGE PAIR 4IN 300# WNRF A105 JACK SCREWS,"4 INCH, 300 LBS, WNRF PAIR WITH PRESSURE TAPS & SCREWS",PAIR,FLANGE,FLG-CL-009
GAIL,GAIL-FLG-40650,"ORIFICE FLANGES (PAIR), 4"", 300#, WNRF, A105 CS","100MM NB, CLASS 300, ORIFICE UNION ASME B16.36",PAIR,FLANGE,FLG-CL-009
NTPC,NTPC-FLG-81570,"4"" ORIFICE FLANGE ASSEMBLY 300 CLASS WNRF CS","4 INCH, 300 LBS, WNRF PAIR WITH JACKING SCREWS",PAIR,FLANGE,FLG-CL-009
BHEL,BHEL-66101025,FLG WNRF RTJ 8IN 900# ALLOY STEEL A182 F11 SCH80,"8 INCH, 900 LB, RING TYPE JOINT (RTJ), ALLOY STEEL F11",NOS,FLANGE,FLG-CL-010
ONGC,ONGC-F-31670,"8"" WELD NECK FLANGE CLASS-900 RTJ ALLOY STEEL F11","200 MM NB, 900 LBS, RTJ GROOVE, ASTM A182 F11",EA,FLANGE,FLG-CL-010
SAIL,SAIL-FLG-50675,"8"" RTJ WNRF FLANGE CLASS 900 ALLOY STEEL F11","8 INCH NB, CLASS 900 RTJ, ALLOY STEEL",NOS,FLANGE,FLG-CL-010
BHEL,BHEL-66101130,SWIVEL RING FLG 6IN 600# A105 SUBSEA ROTATABLE,"6 INCH, CLASS 600, TWO-PIECE SWIVEL RING FLANGE, A105",NOS,FLANGE,FLG-CL-011
ONGC,ONGC-F-31780,"6"" SWIVEL FLANGE CLASS-600 RF ASME B16.5 A105","6 INCH NB, 600#, ROTATABLE OUTER RING FOR OFFSHORE",EA,FLANGE,FLG-CL-011
GAIL,GAIL-FLG-40760,"FLANGE, SWIVEL RING, 6"", 600 LBS, CS A105","6 INCH, 600#, SWIVEL ALIGNMENT FLANGE",NOS,FLANGE,FLG-CL-011
BHEL,BHEL-66101240,REDUCING FLG 4IN X 2IN 150# A105 RF ASME B16.5,"SIZE 4"" X 2"", CLASS 150 RAISED FACE, A105 FORGED CS",NOS,FLANGE,FLG-CL-012
NTPC,NTPC-FLG-81680,"4"" X 2"" CS REDUCING FLANGE 150 CLASS RF ASTM A105","100MM X 50MM NB, CLASS 150 RF REDUCING FLANGE",NOS,FLANGE,FLG-CL-012
SAIL,SAIL-FLG-50785,4 INCH TO 2 INCH REDUCING FLANGE CLASS 150 RF CS,"4"" X 2"" ASME B16.5 150#, ASTM A105",NOS,FLANGE,FLG-CL-012
GAIL,GAIL-FLG-40870,"FLANGE, REDUCING, 4"" X 2"", 150#, CS A105 RF","100MM X 50MM, CLASS 150, FORGED CARBON STEEL",NOS,FLANGE,FLG-CL-012
